Build IDs	Priority	Item	Slot	Act	Region / map	Location and acquisition	Coordinates	Why / when	Source
SB-A1;SB-1011	Core	Hand Crossbow +1 x2	Ranged	1	Druid Grove / Shattered Sanctum	Buy one from Dammon and another from Roah Moonglow or other rotating weapon vendors	-	Two-Weapon Fighting and bonus-action shots carry early Act 1	https://bg3.wiki/wiki/Hand_Crossbow_%2B1
SB-A1;SB-1011	Upgrade	Gloves of Archery	Hands	1	Goblin Camp	Buy from Grat the Trader in the outdoor camp	-	Adds proficiency and +2 ranged weapon damage	https://bg3.wiki/wiki/Gloves_of_Archery
SB-A1;SB-1011	Core	Titanstring Bow	Ranged	1	Zhentarim Hideout	Buy from Brem after gaining access to his expanded stock	-	Best when Strength is raised by elixir or another item	https://bg3.wiki/wiki/Titanstring_Bow
SB-A1;SB-1011	Core	Caustic Band	Ring	1	Myconid Colony	Buy from Derryth Bonecloak	-	Adds flat acid damage to every weapon hit	https://bg3.wiki/wiki/Caustic_Band
SB-A1;SB-1011	Core	Gloves of Dexterity	Hands	1	Crèche Y'llek	Buy from A'jak'nir Jeera	-	Sets DEX to 18 and enables the level 8 control-martial respec	https://bg3.wiki/wiki/Gloves_of_Dexterity
SB-1011	Core	Helmet of Arcane Acuity	Head	2	Reithwin Mason's Guild	Loot a chest in the basement / secret area	-	Weapon hits stack spell attack and spell save DC	https://bg3.wiki/wiki/Helmet_of_Arcane_Acuity
SB-1011;SB-102	Core	Band of the Mystic Scoundrel	Ring	3	Rivington, Circus of the Last Days	Win Akabi's jackpot, enter the jungle, and loot the backpack near the exit portal	-	After a weapon hit, cast illusion or enchantment spells as a bonus action	https://bg3.wiki/wiki/Band_of_the_Mystic_Scoundrel
SB-1011	Endgame	The Dead Shot	Ranged	3	Lower City	Buy from Fytz the Firecracker at Stormshore Armoury	-	High accuracy and improved critical range for ranged attacks	https://bg3.wiki/wiki/The_Dead_Shot
SB-102	Starter	Phalar Aluve	Melee	1	Underdark	Pull the sword from the stone southwest of the Selûnite Outpost	X 116 Y -192	Sing improves ally accuracy; Shriek adds damage and penalizes saves	https://bg3.wiki/wiki/Phalar_Aluve
SB-102	Core	Unseen Menace	Melee	1	Crèche Y'llek	Buy from A'jak'nir Jeera	-	Invisible weapon grants advantage until it misses, supporting GWM	https://bg3.wiki/wiki/Unseen_Menace
SB-102	Starter	Svartlebee's Woundseeker	Melee	1	Waukeen's Rest	Carried by Gauntlet Yeva; obtain through disarm/Command or loot if she dies	-	Attack bonus against already-damaged targets improves early accuracy	https://bg3.wiki/wiki/Svartlebee%27s_Woundseeker
SB-102	Starter	Sword of Justice	Melee	1	The Risen Road tollhouse	Receive from Anders or loot him during Hunt the Devil	-	Tyr's Protection supplies +2 Armour Class concentration buff	https://bg3.wiki/wiki/Sword_of_Justice
SB-102	Starter	Everburn Blade	Melee	1	Nautiloid helm	Loot Commander Zhalk; Command: Drop is the safest acquisition method	-	Strong tutorial greatsword before better accuracy-focused weapons	https://bg3.wiki/wiki/Everburn_Blade
SB-102	Core	Risky Ring	Ring	2	Moonrise Towers	Buy from Araj Oblodra	X -128 Y -193	Advantage on attacks helps GWM and critical fishing, but disadvantage on saves is dangerous	https://bg3.wiki/wiki/Risky_Ring
SB-102	Core	Potion of Everlasting Vigour	Permanent	2	Moonrise Towers	Have Astarion bite Araj Oblodra; this conflicts with his approval and roleplay	X -128 Y -193	Permanent +2 Strength, up to 22 before other bonuses	https://bg3.wiki/wiki/Potion_of_Everlasting_Vigour
SB-102	Endgame	Bhaalist Armour	Chest	3	Murder Tribunal	Buy from Echo of Abazigal after becoming an Unholy Assassin	-	Aura makes nearby enemies vulnerable to piercing; evil-path only	https://bg3.wiki/wiki/Bhaalist_Armour
CL-102	Core	Luminous Armour	Chest	1	Selûnite Outpost, Underdark	Loot the opulent chest in the northeastern room	X 176 Y -247	Radiant Shockwave spreads Radiating Orb from radiant damage	https://bg3.wiki/wiki/Luminous_Armour
CL-102	Core	Boots of Stormy Clamour	Feet	1	Myconid Colony	Buy from Omeluum after completing Help Omeluum Investigate the Parasite	-	Applying conditions adds Reverberation, pairing with Radiating Orb	https://bg3.wiki/wiki/Boots_of_Stormy_Clamour
CL-102;MO-OH	Upgrade	Gloves of Belligerent Skies	Hands	1	Crèche Y'llek, Inquisitor's Chamber	Loot the elegant chest in the chamber	-	Thunder, lightning, and radiant damage add Reverberation	https://bg3.wiki/wiki/Gloves_of_Belligerent_Skies
CL-102	Upgrade	Holy Lance Helm	Head	1	Rosymorn Monastery	Loot the painted chest reached from the monastery rooftop	-	Enemies who miss the wearer can take radiant damage and trigger orb/reverb gear	https://bg3.wiki/wiki/Holy_Lance_Helm
CL-102	Core	Coruscation Ring	Ring	2	Last Light Inn	Loot a chest in the cellar below the inn	-	Spell damage against illuminated targets inflicts Radiating Orb	https://bg3.wiki/wiki/Coruscation_Ring
CL-102;MO-OH;SO-111	Core	Callous Glow Ring	Ring	2	Gauntlet of Shar	Loot the locked opulent chest in the room near Balthazar	-	Adds radiant damage against illuminated targets and triggers radiant gear	https://bg3.wiki/wiki/Callous_Glow_Ring
CL-102;MO-OH	Support	The Whispering Promise	Ring	1	Druid Grove / Goblin Camp	Buy from Volo while he is trading, or from Grat depending on route	-	Healing applies Bless without concentration	https://bg3.wiki/wiki/The_Whispering_Promise
CL-102;MO-OH	Support	Hellrider's Pride	Hands	1	Druid Grove	Reward from Zevlor for Investigate Kagha, or obtain from him by other means	-	Healing grants Blade Ward for physical resistance	https://bg3.wiki/wiki/Hellrider%27s_Pride
