Build IDs	Priority	Item	Slot	Act	Region / map	Location and acquisition	Coordinates	Why / when	Source	Minimum level	Maximum level	Requirement	Map objective	Alternative
SB-1011	Core	Helmet of Arcane Acuity	Head	2	Reithwin Mason's Guild	Loot the locked, trapped Gilded Chest in the secret basement	X 107 Y -758	Weapon hits stack spell attack and spell save DC	https://bg3.wiki/wiki/Helmet_of_Arcane_Acuity
SB-102	Core	Risky Ring	Ring	2	Moonrise Towers	Buy from Araj Oblodra	X -128 Y -193	Advantage on attacks helps GWM and critical fishing, but disadvantage on saves is dangerous	https://bg3.wiki/wiki/Risky_Ring
SB-102	Core	Potion of Everlasting Vigour	Permanent	2	Moonrise Towers	Have Astarion bite Araj Oblodra; this conflicts with his approval and roleplay	X -128 Y -193	Permanent +2 Strength, up to 22 before other bonuses	https://bg3.wiki/wiki/Potion_of_Everlasting_Vigour
CL-102	Core	Coruscation Ring	Ring	2	Last Light Inn	Loot the trapped Heavy Chest in the inn's secret cellar area	X 44 Y -734	Spell damage against illuminated targets inflicts Radiating Orb	https://bg3.wiki/wiki/Coruscation_Ring
CL-102;MO-OH;SO-111	Core	Callous Glow Ring	Ring	2	Gauntlet of Shar	Loot the Opulent Chest in the vault room near Balthazar	X -821 Y -752	Adds radiant damage against illuminated targets and triggers radiant gear	https://bg3.wiki/wiki/Callous_Glow_Ring
PA-FL	Core	Risky Ring	Ring	2	Moonrise Towers	Buy from Araj Oblodra	X -128 Y -193	Advantage improves the build's attacks, but disadvantage on saving throws is a serious Honor Mode cost	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Helmet of Arcane Acuity	Head	2	Reithwin Mason's Guild	Loot the locked, trapped Gilded Chest in the secret basement	X 107 Y -758	Weapon hits build Arcane Acuity before Hold Person or area control	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Hellfire Hand Crossbow	Ranged	2	Gauntlet of Shar	Loot Yurgir	X -653 Y -764	Its Scorching Ray supplies multiple hits to build Arcane Acuity before control spells	https://bg3.wiki/wiki/Hellfire_Hand_Crossbow
SO-111	Core	Hat of Fire Acuity	Head	2	Last Light Inn	Loot the Strange Ox in Dammon's blacksmith area	X -28 Y 170	Fire damage stacks Arcane Acuity; Scorching Ray rapidly reaches high spell DC	https://bg3.wiki/wiki/Hat_of_Fire_Acuity
SO-111	Core	Spineshudder Amulet	Amulet	2	Moonrise Towers	Loot the Mimic in Isobel's upstairs bedroom	X -171 Y -195	Ranged spell attacks apply Reverberation, pairing with Scorching Ray	https://bg3.wiki/wiki/Spineshudder_Amulet
SO-111	Upgrade	Ring of Mental Inhibition	Ring	2	Ruined Battlefield	Loot the locked chest in the House in Deep Shadows	X 76 Y 40	Failed mental saves apply Mental Fatigue, making subsequent control harder to resist	https://bg3.wiki/wiki/Ring_of_Mental_Inhibition
FI-WEK	Core	Darkfire Shortbow	Ranged	2	Last Light Inn	Buy from Dammon	X -33 Y 164	Provides resistance and Haste while remaining a passive ranged slot	https://bg3.wiki/wiki/Darkfire_Shortbow	8		Reach Last Light with Dammon alive	Yes	Bow of Awareness
FI-WEK	Core	Reaper's Embrace	Chest	2	Mind Flayer Colony	Loot Ketheric Thorm after the colony fight	X 861 Y -23	The source's final heavy armour reduces incoming damage and prevents forced movement	https://bg3.wiki/wiki/Reaper%27s_Embrace	10		Fighter heavy-armour proficiency	Yes	Adamantine Splint Armour
FI-WEK	Core	Ketheric's Shield	Shield	2	Mind Flayer Colony	Loot Ketheric Thorm after the colony fight	X 861 Y -23	Adds spell save DC and spell attacks while retaining shield defence	https://bg3.wiki/wiki/Ketheric%27s_Shield	10		Fighter shield proficiency	Yes	Safeguard Shield
FI-WEK	Core	Thunderskin Cloak	Cloak	2	Moonrise Towers	Buy from Araj Oblodra on the main floor	X -128 Y -193	Dazes enemies that hit while Reverberating, reinforcing the source's retaliation loop	https://bg3.wiki/wiki/Thunderskin_Cloak	8		Apply Reverberation reliably	Yes	Cloak of Protection
FI-WEK	Core	Ring of Spiteful Thunder	Ring	2	Moonrise Towers	Buy from Roah Moonglow on the main floor	X -174 Y -179	Thunder damage can Daze Reverberating targets for the source's prone/control loop	https://bg3.wiki/wiki/Ring_of_Spiteful_Thunder	8		Keep Roah available as a trader	Yes	Strange Conduit Ring
